/sentences,,,,,,
/sentence/@id,/sentence/#id,/sentence/aspectTerms/aspectTerm/@from,/sentence/aspectTerms/aspectTerm/@polarity,/sentence/aspectTerms/aspectTerm/@term,/sentence/aspectTerms/aspectTerm/@to,/sentence/text
2614,2724,,,,,"It's great and we will always stick with Apple computers, we have been so happy with them."
981,2725,,,,,  I should have realized that trouble was brewing .
259,2726,186,negative,virus protection programs for a Mac,221,"They break down just as often as PCs do, and the only reason they don't get viruses, is because no one makes viruses for them, they're not better in any way, they are worse, try finding virus protection programs for a Mac, they don't exist."
2774,2727,,,,,Thank you.
2256,2728,,,,,The benefits were immediate!
1550,2729,,,,,Much faster than my old windows laptop that died on me.
1721,2730,,,,,"Never any doubt I would get a MacBook, just wasn't sure which one."
2146,2731,22,positive,Screen,28,"But with A WAY Bigger Screen, and IS able to connect to an HDMI."
2146,2731,59,neutral,HDMI,63,"But with A WAY Bigger Screen, and IS able to connect to an HDMI."
1399,2732,4,negative,graphics,12,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
1399,2732,31,negative,wireless switch,46,the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.
2400,2733,12,positive,build quality,25,The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.
1917,2734,,,,,I bought my Acer Aspire custom made in June 2008.
1302,2735,19,neutral,technical person,35,I guess he was the technical person.
2815,2736,,,,,They click.
534,2737,17,neutral,mouse,22,A seventy dollar mouse!
429,2738,78,negative,shipped,85,"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me."
978,2739,,,,,I have the A65 - right now it's a paperweight.
2301,2740,34,negative,size,38,when i first got it i thought the size of it was a joke.
2087,2741,,,,,"That being said, it still runs video in full screen decently."
2378,2742,45,positive,internet connection,64,It is fast and i have not had a problem with internet connection or any other problems.
2722,2743,30,positive,quality,37,I'm really impressed with the quality and performance for the price of the computer.
2722,2743,42,positive,performance,53,I'm really impressed with the quality and performance for the price of the computer.
2722,2743,62,positive,price,67,I'm really impressed with the quality and performance for the price of the computer.
1058,2744,48,neutral,recovery DVDs,61,"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD."
1058,2744,73,neutral,driver/application DVD,95,"But when I received my replacement, I made BOTH recovery DVDs (4), and a driver/application DVD."
2252,2745,22,positive,photo detection software,46,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture."
2781,2746,4,negative,speakers,12,The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.
927,2747,301,negative,price,306,"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one)."
2293,2748,,,,,What's really great about this product is you may have a family member who is computer illiterate and you can pretty much just let them loose on this computer without any real supervision.
424,2749,,,,,"The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply  to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times."
2316,2750,,,,,PDF files can be viewed instantly.
2008,2751,,,,,Dell Latitude d620 is not a reliable machine.
1726,2752,,,,,I have had it for almost four years now and I have only had a few problems with it.
2779,2753,,,,,Overall for the money this is a good deal.
2955,2754,19,positive,use,22,"It is so simple to use, I use it more than my desktop."
2697,2755,30,negative,touchpad,38,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.
2697,2755,90,neutral,screen,96,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.
2697,2755,55,negative,mouse pointer,68,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.
1575,2756,,,,,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.
1007,2757,,,,,"I own a Hewlett Packard laptop and I've had man problems with it since I bought in in Feb, 201"
979,2758,,,,,   It has a overheating issue - nearly to the point of being dangerous.
2357,2759,43,negative,hardware,51,I have had no problems with it unlike some hardware defects on past models.
1087,2760,16,negative,KEYBOARD,24,"EITHER WAY, THE KEYBOARD IS UNSATISFACTORY."
2529,2761,71,negative,Windows,78,"Well, I have to say since I bought my Mac, I won't ever go back to any Windows."
2111,2762,66,negative,cost,70,"I took it in to the Apple store and guess what? They fixed it, no cost out of pocket."
71,2763,,,,,I have used different laptops in the past and I have to rate this one way above the rest.
1619,2764,,,,,I love the Mac so much better than my work PC!
400,2765,4,positive,quality,11,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop."
400,2765,13,positive,engineering design,31,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop."
400,2765,36,positive,warranty,44,"The quality, engineering design and warranty are superior--covers damage from dropping the laptop."
2628,2766,,,,,I recommend the Macbook Pro if you want the best laptop on the market.
2212,2767,4,positive,applications,16,"The applications are also very easy to find and maneuver, much easier than any other computer I have ever owned."
2153,2768,10,positive,screen,16,The large screen gives you the option to comfortably watch movies or TV shows on your computer instead of buying an additional TV for your dorm room.
212,2769,,,,,Small and light weight.
443,2770,33,positive,use,36,"Great laptop for school, easy to use for beginners in the household."
511,2771,,,,,"He didn't work for sony, he was just approved to fix their crappy products."
194,2772,24,negative,work,28,"4) Laptop still did not work, blue screen within a week..."
2620,2773,60,negative,speakers,68,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that."
1593,2774,,,,,"Bought for my daughter to take for starting college this fall - she has been on it non-stop ever since ""learning how to use it""."
83,2775,,,,,"Never had a single problem, and don't have to worry about viruses."
1299,2776,60,negative,hinges,66,"Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others."
366,2777,82,positive,programs,90,Not to mention the fact that your mac comes fully loaded with all necessary basic programs.
2686,2778,7,negative,work,11,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).
368,2779,,,,,It is SO much fun to play with.
784,2780,29,negative,Customer Service,45,If this is an improvement in Customer Service then I would hate too see what it was before!
647,2781,,,,,*6th week*-They are not responding to my emails asking when they expect to dispatch the new unit...
1496,2782,11,positive,programs,19,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual."
1496,2782,21,neutral,Keynote,28,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual."
1496,2782,30,neutral,Pages,35,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual."
1496,2782,37,neutral,Numbers,44,"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual."
2602,2783,32,negative,expense,39,"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow."
2602,2783,122,positive,run,125,"Sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs, it probably comes out about even anyhow."
1450,2784,112,positive,components,122,"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price."
1450,2784,151,positive,price,156,"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price."
1450,2784,313,positive,price,318,"The best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price."
1410,2785,12,negative,cd drive,20,"There is no cd drive on the computer, which defeats the purpose of keeping files on a cd."
688,2786,,,,,And Toshiba is a quality supplier.
2097,2787,95,positive,price,100,For me I was lucky and a local store was selling them for $2000 off and Best Buy matched their price so I was able to buy one for under $1000
527,2788,,,,,I can't honestly say I was heartbroken.
2665,2789,,,,,WILL NOT EVERY BUY ANOTHER--------LOU
1795,2790,23,negative,quality,30,"Unfortunately, Apple's quality has continued to slide."
2230,2791,,,,,and finally i realized that mac is the best.
114,2792,,,,,It's very annoying.
2224,2793,,,,,I'm hoping that I can find a really quick way to clean it without it getting too gross.
3033,2794,,,,,My only other complaint is that it gets really hot.
1614,2795,19,positive,quality,26,I believe that the quality of a mac is worth the price.
1614,2795,49,positive,price,54,I believe that the quality of a mac is worth the price.
1003,2796,,,,,I'm Very disappointed in Dell.
1392,2797,49,negative,pointer,56,sometimes you will be moving your finger and the pointer will not even move.
680,2798,,,,,I've only had mine a day but I'm already used to it...
436,2799,,,,,And that was the fourth time ive sent it to them to get fixed.
697,2800,57,positive,shipping,65,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
697,2800,100,positive,price,105,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
697,2800,36,positive,budget,42,"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product."
1159,2801,70,negative,life span,79,"I would rate this computer at 5 stars, but considering it has a short life span I can only give it 1 and implore anyone looking at laptops to stay away from this machine."
2757,2802,16,positive,design,22,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull."
2757,2802,28,positive,looks,33,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull."
2757,2802,39,positive,feel,43,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull."
2757,2802,53,positive,my toshiba feature,71,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull."
232,2803,,,,,"For me, five stars is not enough."
2122,2804,,,,,I love how easy every thing is to do on my Apple products.
1508,2805,,,,,"Sadly Apple has discontinued this MacBook, I think it was never super popular since it fell somewhere in between the cheapest white model and the smaller Pros."
278,2806,4,negative,layout,10,The layout of the MacBook is horrible and confusing;
2783,2807,19,negative,one of the programs,38,Was not happy with one of the programs on it.
327,2808,76,positive,use,79,"Also it is very good for college students who just need a reliable, easy to use computer."
2731,2809,20,negative,Touchpad,28,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.
2731,2809,58,negative,USB,61,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.
2731,2809,90,negative,Touchpad,98,The first one sent: Touchpad didn't work The second sent: USB didn't work The third sent: Touchpad didn't work The fourth sent: Hasn't arrived yet.
218,2810,,,,,I came from the Dell Laptops and now I am so glad I switched when I needed a new laptop.
5,2811,,,,,This is definitely a computer worth the money;
1749,2812,150,positive,iwork,155,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office."
1749,2812,177,negative,office,183,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office."
1749,2812,102,negative,word processor,116,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office."
1749,2812,136,neutral,windows,143,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office."
1749,2812,51,neutral,document creation,68,"Only other thing is that if you are using this for document creation Apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office."
820,2813,,,,,  I am stuck with a laptop that I cannot do very much with.
245,2814,20,positive,battery,27,It is light and the battery last a very long time.
1979,2815,,,,,Better stick with another brand.
202,2816,,,,,I am glad I did my research.
1142,2817,86,neutral,memory,92,"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended)."
1142,2817,55,negative,memory stick,67,"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended)."
1142,2817,159,neutral,memory stick,171,"  And at one point, they blame me for installing a bad memory stick when I upgrade my memory for the first time during my purchase of the laptop (I bought the memory stick they recomended)."
1211,2818,,,,,5 months dead again.
2294,2819,,,,,"Also, you won't have to worry about them going onlne a getting a virus."
1583,2820,,,,,Very happy.
2372,2821,,,,,The netbook is easier for me to take to bed and carry around with me.
1438,2822,15,negative,keys,19,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare."
1438,2822,26,negative,keyboard,34,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare."
1438,2822,98,negative,button below the mouse pad,124,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare."
1438,2822,170,negative,screen,176,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare."
1438,2822,73,negative,paint,78,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare."
1949,2823,,,,,My children won't even use it  for their school work.
2663,2824,,,,,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.
952,2825,32,negative,lightscribe,43,The next time I had an issue my lightscribe wouldn't work.
1858,2826,4,negative,touchpad,12,"The touchpad is extremely sensitive, which is the only drawback."
2235,2827,31,positive,applications,43,also it comes with very useful applications like iphoto that it is the best photo application i have ever had
2235,2827,49,positive,iphoto,55,also it comes with very useful applications like iphoto that it is the best photo application i have ever had
2235,2827,76,positive,photo application,93,also it comes with very useful applications like iphoto that it is the best photo application i have ever had
2825,2828,,,,,It has everything I would need for a home computer.
514,2829,,,,,"The computer did what it was NOT supposed to do, and I didn't know what to do...."
1729,2830,,,,,I love this computer.
1904,2831,,,,,"  They informed me that I had around 7 ""policies"" or viruses on it."
1182,2832,41,negative,Word,45,"They don t translate from a Mac, even on Word, resulting in a ton of run-on sentences."
2455,2833,39,neutral,17 ince screen,53,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it."
2455,2833,115,positive,screen,121,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it."
1213,2834,43,negative,warranty period,58,Summary: They played games with me for the warranty period.
1394,2835,,,,,i cant believe HP put this out.
1924,2836,116,negative,HD,118,"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history."
1924,2836,349,negative,drivers,356,"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history."
1924,2836,83,neutral,Windows update,97,"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history."
2268,2837,,,,,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere."
2171,2838,16,positive,OSX,19,I can have both OSX and Windows XP running at the same time!
2171,2838,24,positive,Windows XP,34,I can have both OSX and Windows XP running at the same time!
790,2839,,,,,"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used."
552,2840,16,neutral,Features,24,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor"
552,2840,35,negative,Performance,46,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor"
552,2840,54,positive,Battery Life,66,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor"
552,2840,79,negative,Price,84,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor"
552,2840,85,negative,Value,90,"Overall : Poor, Features: Average, Performance: Poor, Battery Life: Excellent, Price-Value: Poor"
1859,2841,,,,,"Otherwise, I love it!"
2589,2842,,,,,Having someone give you a quick tour of how to's is the best.
2643,2843,,,,,I have recently converted back to a mac and I couldn't be happier!
733,2844,74,negative,windows,81,Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.
870,2845,,,,,At 16 months it started shutting off after only 5 or 10 minutes.
1910,2846,,,,,  They basically told me that the machine would be problem free now.
2029,2847,,,,,I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.
2242,2848,4,positive,graphics,12,The graphics are stunning.
2085,2849,91,positive,system,97,"(I found a 2GB stick for a bit under $50) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents."
543,2850,50,negative,WiFi,54,after much effort and 10 days ASUS replaced itThe WiFi is very weak.
925,2851,46,neutral,software,54,You can call HP and they want you to buy more software to fix it.
724,2852,,,,,It has been plagued with problems since the day i turned it on.
2139,2853,,,,,this computer is a little more expensive than any pc but it will last you longer and it worth every penny.
1771,2854,27,neutral,update programs,42,It is easy to navigate and update programs.
1771,2854,14,positive,navigate,22,It is easy to navigate and update programs.
383,2855,,,,,The laptop is gorgeous.
2355,2856,,,,,It's more expensive but well worth it in the long run.
2200,2857,,,,,"I'm making the switch and finding that my biggest problem is trying to do things the 'old' way - and Apple does, indeed, have the better idea."
723,2858,,,,,I've had hp desktop for over 4 yrs now and not one days goes by that i don't regret buying it.
2043,2859,,,,,HP didn't fix it.
2258,2860,2,positive,Applications,14,", Applications respond immediately (not like the tired MS applications)."
2258,2860,55,negative,MS applications,70,", Applications respond immediately (not like the tired MS applications)."
1960,2861,102,positive,Customer Service,118,"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service."
2006,2862,,,,,"Now, I guess, I'll have to unload my M6809 on some poor, hapless soul."
2223,2863,42,negative,screen,48,"The only drawback for me is how dirty the screen gets, and rather quickly too."
23,2864,43,positive,carry,48,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight."
23,2864,112,positive,weight,118,"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight."
2711,2865,50,positive,applications,62,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously."
2711,2865,82,neutral,programs,90,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously."
2711,2865,67,positive,Internet tabs,80,"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously."
1899,2866,,,,,  The problems started with just the screen freezing.
495,2867,,,,,Taking it anywhere was a pain!
1606,2868,29,negative,noises,35,I also did not like the loud noises it made or how the bottom of the computer would get really hot.
1606,2868,55,negative,bottom of the computer,77,I also did not like the loud noises it made or how the bottom of the computer would get really hot.
1018,2869,84,positive,repair technician,101,I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.
1761,2870,,,,,I previously owned a Toshiba and it only lasted about 2 years.
554,2871,,,,,I can't imagine my life without it anymore!
2728,2872,10,negative,software,18,defective software.
1964,2873,36,negative,carry,41,This computer was so challenging to carry and handle.
1964,2873,46,negative,handle,52,This computer was so challenging to carry and handle.
2808,2874,0,negative,Cords,5,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,31,negative,power,36,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,69,negative,headphones,79,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,80,negative,mic,83,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,89,negative,network connection,107,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,138,negative,setup,143,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,42,negative,cords,47,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
2808,2874,149,negative,cords,154,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.
775,2875,56,negative,power supply,68,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.
2424,2876,45,neutral,Core2 Quad,55,It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.
1689,2877,73,positive,battery life,85,It is good to know that I can mobilize without having to worry about the battery life.
1894,2878,,,,,I baby my electronics so I know for a fact it was defective and not anything that I did to it.
1078,2879,4,positive,screen,10,"The screen is nice, side view angles are pretty good."
1492,2880,18,positive,screen,24,"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen."
1492,2880,246,positive,screen,252,"The fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen."
808,2881,70,neutral,applications,82,3 weeks went by and the computer keeps crashing and will not open any applications.
1472,2882,35,negative,charger unit,47,Not to mention sometimes the whole charger unit will decide not to work entirely.
1038,2883,37,negative,feel,41,"Looks nice, but has a horribly cheap feel."
1038,2883,0,positive,Looks,5,"Looks nice, but has a horribly cheap feel."
818,2884,,,,,I would recommend not buying this product.
861,2885,,,,,its more like a snail crawl.
544,2886,39,positive,signals,46,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal."
544,2886,103,negative,signal,109,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal."
1959,2887,4,positive,feel,8,"The feel of this is better than the Toshiba, too."
315,2888,125,positive,quality,132,I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!
2573,2889,15,neutral,memory,21,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine."
2573,2889,44,neutral,Windows 7 Starter,61,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine."
2573,2889,65,neutral,Win 7 Home,75,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine."
2573,2889,84,positive,runs,88,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine."
1996,2890,28,neutral,drive,33,"I am not sure if it was the drive itself, however;"
509,2891,,,,,"So I called, AGAIN."
1600,2892,41,negative,edges,46,"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem."
1600,2892,113,positive,incase shells,126,"Also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem."
719,2893,23,positive,keyboard,31,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic."
719,2893,73,positive,weight,79,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic."
719,2893,14,positive,use,17,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic."
141,2894,48,negative,shipping,56,"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!"
141,2894,77,neutral,repair center,90,"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!"
1920,2895,,,,,I was constantly having to roll back the computer after doing updates.
760,2896,,,,,Stay away from Envy.
193,2897,,,,,-got it back 3 months later
1016,2898,,,,,I have had to send in my laptop three times to get it fixed.
507,2899,,,,,"When I turned it on, nothing."
1255,2900,49,neutral,applications,61,I should have checked this before I installed my applications.
667,2901,4,positive,battery,11,The battery is really long.
1992,2902,40,negative,DVD burner,50,"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply."
1992,2902,111,negative,power supply,123,"Anyway, in early July of this year, the DVD burner stopped working, and the computer stared having issues with power supply."
2430,2903,27,negative,case,31,Had some trouble finding a case that it would fit in.
2406,2904,,,,,The 17 in Macbook Pro has been a wonderful addition.
1021,2905,50,negative,keyboard,58,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.
1021,2905,82,negative,keyboard functions,100,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.
1209,2906,,,,,1st time they got it working the next 5 month they had me send it in.
1701,2907,11,positive,iMovie,17,Comes with iMovie;
2570,2908,,,,,I just love my Mac!
287,2909,,,,,I can not even read what I am writing half of the time.
681,2910,,,,,MACS ARE AMAZING!!!
866,2911,,,,,My hp G60-244dx died after only 16 months.
1248,2912,,,,,They freeze all the time.
2857,2913,,,,,"this one, in my opinion, might be a lemon!"
266,2914,,,,,The book is useless.
811,2915,21,negative,SERVICE FACILITY,37,COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.
2693,2916,,,,,This laptop is very large and barely fits in any carrying cases.
504,2917,23,positive,Customer Service,39,When I called Sony the Customer Service was Great.
1845,2918,89,negative,warranty,97,  even though I had the receipt in front of me proving it still had 2 months left on the warranty.
434,2919,,,,,I sent it to them to fix in perfect condition but for what was wrong with it.
2479,2920,48,neutral,programs,56,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer."
2479,2920,30,positive,system,36,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer."
2479,2920,58,neutral,using the internet,76,"It is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer."
1407,2921,43,negative,buttons,50,"My computer froze on several occasion, had buttons that randomely would fall off and even had moments when the computer would refuse to turn on at all."
1113,2922,9,negative,safe mode,18,Not even safe mode boots.
1976,2923,,,,,Which was way too much money.
1643,2924,,,,,"To those thinking about switching, do it and do not look back!"
2431,2925,23,negative,18-inch,30,"This is an over-sized, 18-inch laptop."
905,2926,24,negative,universal charger,41,I had to pay $100 for a universal charger for this cheap $300 laptop.
2196,2927,4,positive,powerpoint,14,The powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.
1878,2928,26,negative,desktop background,44,1.You can not change your desktop background (window's 7 starter does NOT support that function).
1878,2928,46,negative,window's 7 starter,64,1.You can not change your desktop background (window's 7 starter does NOT support that function).
1878,2928,87,negative,function,95,1.You can not change your desktop background (window's 7 starter does NOT support that function).
758,2929,100,negative,IT support technicians,122,"Took me 11 hours, 3 trips to different FedEx offices, and brutal conversations with 14 of the worse IT support technicians in the world."
1131,2930,30,negative,charger,37,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
1131,2930,92,negative,hardware,100,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.
2052,2931,,,,,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it."
1295,2932,12,negative,customer service center,35,"As usual at customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them)."
112,2933,4,negative,screen,10,The screen gets smeary and dusty very quickly and it's very noticeable.
2123,2934,,,,,It all just makes sense.
190,2935,,,,,2) Blue screen first month
2459,2936,,,,,I love it so much.
1665,2937,,,,,"I got it for Christmas, and I was so excited to set it up!"
1101,2938,39,negative,videocard,48,Strengths:Well-shaped Weaknesses:A bad videocard!
1101,2938,15,positive,shaped,21,Strengths:Well-shaped Weaknesses:A bad videocard!
1948,2939,21,negative,satellite card,35,You can't even get a satellite card which is why I bought to begin with.
2340,2940,,,,,I use it now more than I even thought I would.
115,2941,4,negative,battery life,16,"The battery life, before the battery completely died of course, left much to be desired."
115,2941,29,negative,battery,36,"The battery life, before the battery completely died of course, left much to be desired."
196,2942,,,,,"Do yourself a favor, this is not a fake story trying to hurt alienware..."
2332,2943,13,positive,touchpad,21,"It is a REAL touchpad, not the toy I saw in other brands."
